date,symbol,constraint,original_weight,adjusted_weight,weight_delta,reason,theme,before_exposure,after_exposure,scale,realized_volatility,drawdown,turnover_before,turnover_after
2022-01-07,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-07,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-07,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-07,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-07,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-07,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-14,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-14,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-14,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-14,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-14,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-14,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-21,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-21,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-21,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-21,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-21,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-21,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-28,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-28,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-28,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-01-28,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-28,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-01-28,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-04,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-04,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-04,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-04,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-04,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-04,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-11,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-11,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-11,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-11,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-11,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-11,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-18,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-18,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-18,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-18,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-18,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-18,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-25,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-25,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-25,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-02-25,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-25,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-02-25,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-04,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-04,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-04,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-04,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-04,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-04,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-11,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-11,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-11,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-11,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-11,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-11,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
